ID,NOM,TYPES,DATE_CREATION,STATUT_PUBLICATION,URL,REGION,VILLE,CODE_POSTAL,STRUCTURES_ADOPTANTES_NOM,STRUCTURES_ADOPTANTES_ID,LATITUDE,LONGITUDE,GEOMETRIE,LINEAIRE,SURFACE,NB_RELEVE,NB_EVENEMENT,DATE_DERNIER_EVENEMENT
312,Intersport Val d’Oisans,Association;Collectivité et Gestionnaire,2024/03/19,publié,http://www.zero-dechet-sauvage.org/spots/intersport-val-d-oisans-isbnm-38860-mont-de-lans,Auvergne-Rhône-Alpes,Mont-de-Lans,38860,,,45.01722126257,6.1252545800011,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":[],""geometry"":{""type"":""Polygon"",""coordinates"":[[[6.124965,45.017181],[6.125033,45.017255],[6.125138,45.017334],[6.125259,45.017372],[6.125371,45.017363],[6.125479,45.017348],[6.125543,45.017303],[6.125469,45.017212],[6.125374,45.017143],[6.12532,45.017062],[6.125246,45.017071],[6.125303,45.017203],[6.125314,45.017281],[6.125232,45.017281],[6.125161,45.017219],[6.125118,45.017138],[6.124965,45.017181]]]}},{""type"":""Feature"",""properties"":[],""geometry"":{""type"":""LineString"",""coordinates"":[[6.125036,45.017171],[6.125253,45.017348],[6.125395,45.017308],[6.12528,45.017078]]}}]}",65.257650361618,701.41867614812,0,0,
311,République,Association,2024/03/08,publié,http://www.zero-dechet-sauvage.org/spots/republique-deots-83700-frejus,Provence-Alpes-Côte d'Azur,Fréjus,83700,Planète Actions,348,43.424082028468,6.7591585044352,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":[],""geometry"":{""type"":""Polygon"",""coordinates"":[[[6.757067,43.424705],[6.756352,43.424612],[6.756631,43.42376],[6.756895,43.423256],[6.758762,43.423656],[6.760378,43.424004],[6.761551,43.42418],[6.761865,43.42418],[6.761915,43.424679],[6.761965,43.424908],[6.759563,43.424637],[6.758712,43.424399],[6.757875,43.424191],[6.757131,43.424009],[6.757067,43.424705]]]}},{""type"":""Feature"",""properties"":[],""geometry"":{""type"":""LineString"",""coordinates"":[[6.756702,43.424648],[6.757017,43.423666],[6.761894,43.424513]]}}]}",517.66396058184,38287.791055364,31,36,2024/03/13
310,Beaurivage,Association,2024/03/08,publié,http://www.zero-dechet-sauvage.org/spots/beaurivage-kmeox-83700-saint-raphael,Provence-Alpes-Côte d'Azur,Saint-Raphaël,83700,Planète Actions,348,43.420111506732,6.7698005010515,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":[],""geometry"":{""type"":""Polygon"",""coordinates"":[[[6.773,43.418924],[6.773365,43.418831],[6.773565,43.418742],[6.77339,43.418597],[6.772929,43.418696],[6.772747,43.41875],[6.772511,43.418423],[6.772282,43.418353],[6.771978,43.418439],[6.771849,43.418535],[6.771617,43.418639],[6.771309,43.418779],[6.770955,43.418823],[6.770651,43.418867],[6.77044,43.418896],[6.77038,43.418823],[6.77034,43.418745],[6.770229,43.41875],[6.770212,43.418867],[6.770319,43.419023],[6.770344,43.419179],[6.770244,43.419311],[6.769922,43.419522],[6.769747,43.419555],[6.769357,43.419491],[6.768781,43.419376],[6.768617,43.41935],[6.768599,43.419423],[6.768853,43.419511],[6.7691,43.419563],[6.769522,43.419613],[6.7697,43.419657],[6.769729,43.419958],[6.769661,43.420293],[6.769443,43.420595],[6.769214,43.420761],[6.768506,43.421117],[6.768027,43.421252],[6.767627,43.421335],[6.767026,43.421434],[6.766593,43.421532],[6.766197,43.421556],[6.766036,43.421769],[6.766053,43.42187],[6.766372,43.421839],[6.766704,43.421787],[6.767005,43.421769],[6.767491,43.421691],[6.76792,43.421613],[6.768463,43.42155],[6.768853,43.421467],[6.769107,43.421335],[6.769329,43.421189],[6.769443,43.421065],[6.76959,43.420924],[6.76965,43.42075],[6.769793,43.420457],[6.769883,43.420275],[6.770015,43.419943],[6.770162,43.41973],[6.770623,43.419467],[6.77083,43.419368],[6.771452,43.419252],[6.772046,43.419114],[6.772686,43.419005],[6.773,43.418924]]]}},{""type"":""Feature"",""properties"":[],""geometry"":{""type"":""LineString"",""coordinates"":[[6.76612,43.421747],[6.769224,43.421061],[6.769896,43.419824],[6.77074,43.419222],[6.772298,43.418806],[6.772685,43.41865]]}}]}",676.01287384264,31449.939198354,6,7,2024/03/20
309,Capitole,Association,2024/03/08,publié,http://www.zero-dechet-sauvage.org/spots/capitole-sweej-83700-frejus,Provence-Alpes-Côte d'Azur,Fréjus,83700,Planète Actions,348,43.422388030607,6.7529735047601,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":[],""geometry"":{""type"":""Polygon"",""coordinates"":[[[6.750135,43.421362],[6.749867,43.421424],[6.749745,43.421357],[6.749695,43.421287],[6.749713,43.421201],[6.749967,43.421146],[6.750181,43.421079],[6.750299,43.42117],[6.750374,43.421263],[6.750528,43.421157],[6.750846,43.420985],[6.751275,43.42118],[6.751694,43.421378],[6.752066,43.421521],[6.752377,43.42163],[6.75287,43.421819],[6.753367,43.421975],[6.753885,43.422178],[6.754736,43.422505],[6.755591,43.422752],[6.756252,43.422957],[6.75622,43.423399],[6.756091,43.423695],[6.75602,43.423791],[6.755723,43.42371],[6.755416,43.423619],[6.755215,43.423528],[6.754704,43.423282],[6.754461,43.423162],[6.753953,43.42296],[6.753646,43.422832],[6.753396,43.42271],[6.753031,43.422544],[6.752727,43.422417],[6.751958,43.422071],[6.751583,43.421892],[6.751236,43.421702],[6.75076,43.421515],[6.750328,43.421359],[6.750135,43.421362]]]}},{""type"":""Feature"",""properties"":[],""geometry"":{""type"":""LineString"",""coordinates"":[[6.756231,43.423404],[6.750982,43.421357],[6.749767,43.421336]]}}]}",579.96385896983,37539.414181919,15,17,2024/02/21
308,Santa Lucia,Association,2024/03/08,publié,http://www.zero-dechet-sauvage.org/spots/santa-lucia-mttvp-83701-saint-raphael,Provence-Alpes-Côte d'Azur,Saint-Raphaël,83701,Planète Actions,348,43.414438940902,6.779251990787,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":[],""geometry"":{""type"":""Polygon"",""coordinates"":[[[6.779719,43.414771],[6.779476,43.414942],[6.779215,43.415033],[6.778971,43.415113],[6.7787,43.415189],[6.77846,43.415246],[6.778056,43.415381],[6.777838,43.415514],[6.777527,43.415654],[6.777291,43.415752],[6.777187,43.415672],[6.777066,43.415573],[6.777391,43.415397],[6.777613,43.415272],[6.777877,43.415137],[6.778196,43.414971],[6.778371,43.414856],[6.778196,43.414695],[6.778103,43.414594],[6.778253,43.414487],[6.778449,43.41436],[6.778621,43.414272],[6.778739,43.414196],[6.778929,43.414085],[6.779104,43.413963],[6.779304,43.413882],[6.779633,43.413916],[6.779937,43.413931],[6.780008,43.413931],[6.780041,43.413679],[6.780058,43.413524],[6.780076,43.413417],[6.780187,43.413344],[6.780377,43.413227],[6.780527,43.413126],[6.780845,43.413412],[6.781267,43.413456],[6.781438,43.41356],[6.781403,43.413802],[6.781206,43.413996],[6.781052,43.414181],[6.78072,43.414308],[6.780391,43.414319],[6.780162,43.414313],[6.779872,43.41449],[6.779719,43.414771]]]}},{""type"":""Feature"",""properties"":[],""geometry"":{""type"":""LineString"",""coordinates"":[[6.77721,43.415689],[6.780885,43.413476]]}}]}",386.00266762951,28876.423156743,21,22,2024/02/07
307,Bourgelat sur Huveaune,Éducatif,2024/03/07,publié,http://www.zero-dechet-sauvage.org/spots/bourgelat-sur-huveaune-sagwl-13400-aubagne,Provence-Alpes-Côte d'Azur,Aubagne,13400,,,43.294306342347,5.5711809797464,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":[],""geometry"":{""type"":""Polygon"",""coordinates"":[[[5.572306,43.29446],[5.57217,43.294554],[5.572102,43.294606],[5.571498,43.294372],[5.570371,43.294265],[5.570056,43.294252],[5.570267,43.294007],[5.571687,43.294085],[5.572306,43.29446]]]}},{""type"":""Feature"",""properties"":[],""geometry"":{""type"":""LineString"",""coordinates"":[[5.570163,43.294119],[5.571555,43.294231],[5.572192,43.294549]]}}]}",176.05610024781,5256.5432008702,0,0,
306,Calanque de l'Eoube,Éducatif,2024/03/07,non publié,http://www.zero-dechet-sauvage.org/spots/calanque-de-l-eoube-pkkhe-13007-marseille,Provence-Alpes-Côte d'Azur,Marseille,13007,,,43.284862664946,5.3190209588151,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":[],""geometry"":{""type"":""Polygon"",""coordinates"":[[[5.31895,43.284779],[5.318977,43.28471],[5.318906,43.284653],[5.318814,43.28467],[5.318725,43.284761],[5.318725,43.28469],[5.318795,43.284621],[5.31896,43.284623],[5.319039,43.284718],[5.31895,43.284779]]]}},{""type"":""Feature"",""properties"":[],""geometry"":{""type"":""Polygon"",""coordinates"":[[[5.319147,43.285105],[5.319252,43.285084],[5.319317,43.285007],[5.319285,43.28496],[5.319223,43.284928],[5.319128,43.284936],[5.319239,43.284977],[5.319242,43.285028],[5.319147,43.285105]]]}}]}",0,272.03225462813,0,0,
305,Parking Front de Neige,Association;Collectivité et Gestionnaire,2024/03/07,publié,http://www.zero-dechet-sauvage.org/spots/parking-front-de-neige-hhgmw-05160-reallon,Provence-Alpes-Côte d'Azur,Réallon,05160,,,44.575968175066,6.3616920963689,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":[],""geometry"":{""type"":""Polygon"",""coordinates"":[[[6.361766,44.575775],[6.36198,44.576066],[6.361576,44.57616],[6.361404,44.575908],[6.361766,44.575775]]]}},{""type"":""Feature"",""properties"":[],""geometry"":{""type"":""LineString"",""coordinates"":[[6.361597,44.575844],[6.361769,44.576114]]}}]}",33.005981272008,1111.2428165896,0,0,
304,Plage de Pors Mabo (Trébeurden),Association,2024/03/05,publié,http://www.zero-dechet-sauvage.org/spots/plage-de-pors-mabo-trebeurden--,Bretagne,Trébeurden,22560,CareMor,745,48.759390510979,-3.5640210007984,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":[],""geometry"":{""type"":""Polygon"",""coordinates"":[[[-3.566833,48.760496],[-3.566211,48.760609],[-3.565903,48.760576],[-3.565638,48.760562],[-3.56528,48.760491],[-3.564007,48.760128],[-3.562611,48.759506],[-3.561209,48.758398],[-3.561595,48.758172],[-3.564128,48.759737],[-3.566833,48.760496]]]}},{""type"":""Feature"",""properties"":[],""geometry"":{""type"":""LineString"",""coordinates"":[[-3.561445,48.758308],[-3.564701,48.760227],[-3.566347,48.760567]]}}]}",447.08928793203,20665.455902387,1,1,2024/03/01
303,"Chemin du littoral, de la plage de Peyrefite au col du cap Rédéris",Association,2024/03/04,publié,http://www.zero-dechet-sauvage.org/spots/chemin-du-littoral-de-la-plage-de-peyrefite-au-col-du-cap-rederis--,Occitanie,Banyuls-sur-Mer,66650,CERBERE A JAMAIS / CERBERE GARDIENS MER ET NATURE,58,42.463829500469,3.1561535000357,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":[],""geometry"":{""type"":""Polygon"",""coordinates"":[[[3.15629,42.459953],[3.155716,42.459914],[3.155636,42.460294],[3.155099,42.460472],[3.154257,42.460563],[3.153527,42.460543],[3.153532,42.460713],[3.154439,42.460852],[3.15518,42.460867],[3.155507,42.460642],[3.155797,42.460555],[3.155759,42.460784],[3.155571,42.46118],[3.15548,42.461497],[3.155464,42.461833],[3.155029,42.462474],[3.154777,42.462842],[3.154595,42.463064],[3.154761,42.463175],[3.155308,42.462834],[3.156618,42.46215],[3.157498,42.461793],[3.158168,42.461683],[3.15849,42.461746],[3.158656,42.4619],[3.158538,42.462245],[3.158281,42.462811],[3.158136,42.463103],[3.157927,42.463218],[3.157836,42.463448],[3.157669,42.463649],[3.157015,42.463788],[3.156698,42.463879],[3.156097,42.464113],[3.155968,42.464033],[3.155947,42.463839],[3.155764,42.463816],[3.155882,42.464132],[3.155936,42.464366],[3.155974,42.464627],[3.155759,42.464963],[3.155904,42.465177],[3.156167,42.465418],[3.156183,42.46579],[3.156172,42.46602],[3.15585,42.466329],[3.155609,42.466594],[3.155775,42.466847],[3.156113,42.466982],[3.156762,42.467041],[3.15724,42.467124],[3.157562,42.467203],[3.15753,42.467282],[3.157294,42.467231],[3.156854,42.467227],[3.156263,42.46731],[3.155958,42.467413],[3.155775,42.467563],[3.155716,42.46771],[3.155984,42.467745],[3.156537,42.467623],[3.156778,42.467551],[3.157159,42.467642],[3.157417,42.467571],[3.157143,42.467456],[3.156757,42.467413],[3.15644,42.467409],[3.156966,42.467326],[3.157304,42.467318],[3.157691,42.467413],[3.157889,42.467286],[3.157798,42.467144],[3.157438,42.467076],[3.157218,42.466985],[3.156795,42.466922],[3.156349,42.466871],[3.15607,42.466859],[3.155861,42.466705],[3.15578,42.466586],[3.156065,42.466257],[3.15629,42.466071],[3.156365,42.465739],[3.156381,42.465426],[3.156054,42.46513],[3.155915,42.464951],[3.15607,42.464702],[3.156156,42.464457],[3.156017,42.464267],[3.156038,42.464196],[3.156306,42.46418],[3.156591,42.464077],[3.156875,42.463962],[3.157192,42.463867],[3.157573,42.463792],[3.157927,42.463638],[3.157948,42.463471],[3.158023,42.463262],[3.158308,42.46302],[3.158554,42.462498],[3.15878,42.461952],[3.158737,42.461746],[3.158506,42.461643],[3.158029,42.461631],[3.157503,42.461718],[3.156886,42.461924],[3.156279,42.462165],[3.155732,42.462502],[3.155324,42.462708],[3.154884,42.462945],[3.154788,42.463012],[3.154949,42.462763],[3.155314,42.462233],[3.15563,42.461778],[3.15563,42.461544],[3.155614,42.461382],[3.155786,42.460939],[3.155947,42.460567],[3.156387,42.46048],[3.156381,42.460242],[3.15629,42.459953]]]}},{""type"":""Feature"",""properties"":[],""geometry"":{""type"":""LineString"",""coordinates"":[[3.15364,42.460618],[3.154691,42.460737],[3.155254,42.460638],[3.155861,42.460329],[3.156102,42.459973],[3.155888,42.460614],[3.155689,42.461018],[3.155523,42.461421],[3.155507,42.4616],[3.155517,42.461849],[3.155185,42.462324],[3.154879,42.462751],[3.154702,42.463052],[3.155083,42.462913],[3.156006,42.462415],[3.15658,42.462098],[3.157331,42.461809],[3.158061,42.461671],[3.158463,42.461726],[3.158705,42.461877],[3.158656,42.462098],[3.158313,42.462882],[3.158173,42.463103],[3.157932,42.463258],[3.157798,42.463634],[3.15739,42.463784],[3.156725,42.463938],[3.156403,42.464077],[3.155979,42.464164],[3.155947,42.464358],[3.156043,42.464512],[3.155909,42.464785],[3.155802,42.464983],[3.155979,42.465181],[3.156204,42.465363],[3.156285,42.465818],[3.156247,42.465984],[3.156129,42.466166],[3.155786,42.466463],[3.155689,42.466617],[3.155893,42.466843],[3.156172,42.466922],[3.157191,42.46708],[3.157674,42.467179],[3.157664,42.46735],[3.157385,42.467306],[3.156934,42.467298],[3.156494,42.46735],[3.155995,42.46748],[3.15621,42.467579],[3.157235,42.467551]]}}]}",2110.1247691799,32453.69765642,1,1,2024/03/09
